Symbol   Prob         -log2(P)     -log2(P)*P       Codeword                       CodeLength   AVG_Length
-126     0.000004     18.0000      0.0001           100010010001111000             18           0.000069
-125     0.000008     17.0000      0.0001           10001110001011010              17           0.000130
-124     0.000004     18.0000      0.0001           100000011110100001             18           0.000069
-122     0.000008     17.0000      0.0001           10001001000111101              17           0.000130
-121     0.000004     18.0000      0.0001           100010010001111001             18           0.000069
-120     0.000011     16.4150      0.0002           0001101111100000               16           0.000183
-119     0.000004     18.0000      0.0001           100000011110100101             18           0.000069
-118     0.000008     17.0000      0.0001           10001001000111110              17           0.000130
-117     0.000015     16.0000      0.0002           1000100100011101               16           0.000244
-116     0.000019     15.6781      0.0003           1101110000111111               16           0.000305
-115     0.000008     17.0000      0.0001           10001110001011011              17           0.000130
-114     0.000015     16.0000      0.0002           1000100100010100               16           0.000244
-113     0.000004     18.0000      0.0001           100000011110100100             18           0.000069
-112     0.000008     17.0000      0.0001           10001001010000010              17           0.000130
-111     0.000027     15.1926      0.0004           010011101110010                15           0.000401
-110     0.000019     15.6781      0.0003           1101110001011110               16           0.000305
-109     0.000015     16.0000      0.0002           1000100101000010               16           0.000244
-108     0.000023     15.4150      0.0004           000110111011000                15           0.000343
-107     0.000019     15.6781      0.0003           1101110001011111               16           0.000305
-106     0.000019     15.6781      0.0003           1101110000111110               16           0.000305
-105     0.000015     16.0000      0.0002           1000100101001000               16           0.000244
-104     0.000023     15.4150      0.0004           010010010010001                15           0.000343
-103     0.000015     16.0000      0.0002           1000100101001001               16           0.000244
-102     0.000027     15.1926      0.0004           010011101110011                15           0.000401
-101     0.000031     15.0000      0.0005           100010010001000                15           0.000458
-100     0.000027     15.1926      0.0004           010011100011010                15           0.000401
-99      0.000027     15.1926      0.0004           010011101110000                15           0.000401
-98      0.000038     14.6781      0.0006           110111000100011                15           0.000572
-97      0.000015     16.0000      0.0002           1000100100010110               16           0.000244
-96      0.000038     14.6781      0.0006           00010010100010                 14           0.000534
-95      0.000011     16.4150      0.0002           0001101111100001               16           0.000183
-94      0.000019     15.6781      0.0003           1101110001001010               16           0.000305
-93      0.000008     17.0000      0.0001           10001001000111111              17           0.000130
-92      0.000015     16.0000      0.0002           1000100101001010               16           0.000244
-91      0.000031     15.0000      0.0005           100000011101110                15           0.000458
-90      0.000038     14.6781      0.0006           110111000100100                15           0.000572
-89      0.000031     15.0000      0.0005           100000011101111                15           0.000458
-88      0.000046     14.4150      0.0007           00011011101101                 14           0.000641
-87      0.000023     15.4150      0.0004           000110111011001                15           0.000343
-86      0.000034     14.8301      0.0005           100011110001010                15           0.000515
-85      0.000023     15.4150      0.0004           010010010010000                15           0.000343
-84      0.000038     14.6781      0.0006           110111000011100                15           0.000572
-83      0.000031     15.0000      0.0005           100010010001100                15           0.000458
-82      0.000038     14.6781      0.0006           110111000011101                15           0.000572
-81      0.000038     14.6781      0.0006           110111000100110                15           0.000572
-80      0.000042     14.5406      0.0006           00010101010101                 14           0.000587
-79      0.000038     14.6781      0.0006           110111000100000                15           0.000572
-78      0.000038     14.6781      0.0006           110111000100001                15           0.000572
-77      0.000069     13.8301      0.0009           10001111000100                 14           0.000961
-76      0.000080     13.6077      0.0011           0001001010010                  13           0.001041
-75      0.000080     13.6077      0.0011           0001001010011                  13           0.001041
-74      0.000065     13.9125      0.0009           10001110001100                 14           0.000908
-73      0.000088     13.4764      0.0012           0001101110100                  13           0.001141
-72      0.000103     13.2451      0.0014           0100101100111                  13           0.001339
-71      0.000088     13.4764      0.0012           0001101110101                  13           0.001141
-70      0.000103     13.2451      0.0014           0100101110010                  13           0.001339
-69      0.000126     12.9556      0.0016           1000100101011                  13           0.001637
-68      0.000126     12.9556      0.0016           1000100101010                  13           0.001637
-67      0.000137     12.8301      0.0018           1000111111000                  13           0.001785
-66      0.000095     13.3561      0.0013           0001101111111                  13           0.001240
-65      0.000111     13.1420      0.0015           0100111011111                  13           0.001438
-64      0.000141     12.7905      0.0018           1000111111001                  13           0.001835
-63      0.000130     12.9125      0.0017           1000111000100                  13           0.001686
-62      0.000141     12.7905      0.0018           1000111111010                  13           0.001835
-61      0.000118     13.0458      0.0015           1000000111010                  13           0.001537
-60      0.000153     12.6781      0.0019           1101110001010                  13           0.001984
-59      0.000191     12.3561      0.0024           010010010001                   12           0.002289
-58      0.000156     12.6424      0.0020           1101110001111                  13           0.002033
-57      0.000206     12.2451      0.0025           010010111000                   12           0.002472
